objID,specObjID,z,u_mag,g_mag,r_mag,i_mag,z_mag,w1mpro,w2mpro,w3mpro,w4mpro,o3_hB,n2_hA,s2_hA,o1_hA,o3_o2,ne3_o2,is_AGN,which_AGN,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,w1-w2,w1-w3,w1-w4,w2-w3,w2-w4,w3-w4,ra,dec,neighbor_id,angular_sep,num_neighbors
1237679322323223085,8.149521E+18,2.322367,22.44388,20.81202,20.78542,20.56748,20.10144,17.317,16.141,12.694,9.122,,,,,,,True,8,1.63186,1.65846,1.8764,2.34244,0.0266,0.24454,0.71058,0.21794,0.68398,0.46604,1.176,4.623,8.195,3.447,7.019,3.572,32.2243934361093,-5.26760579362497,[],[],0
1237679322323288106,8.149518E+18,0.6217514,24.54684,21.40093,20.76075,20.28111,20.49035,,,,,,,,,,,True,8,3.14591,3.78609,4.26573,4.05649,0.64018,1.11982,0.91058,0.47964,0.2704,-0.20924,,,,,,,32.3166432996897,-5.2619934339312,[],[],0
1237679322323288377,8.149532E+18,2.092353,21.41022,21.34734,21.24327,20.99697,21.02176,17.603,17.301,12.681,9.378,,,,,,,True,8,0.06288,0.16695,0.41325,0.38846,0.10407,0.35037,0.32558,0.2463,0.22151,-0.02479,0.302,4.922,8.225,4.62,7.923,3.303,32.3576691834834,-5.27923984996393,[],[],0
1237679322323353700,8.148268E+18,1.405712,19.48893,19.39095,19.21321,19.10172,19.383,15.741,14.289,10.988,8.894,,,,,,,True,8,0.09798,0.27572,0.38721,0.10593,0.17774,0.28923,0.00795,0.11149,-0.16979,-0.28128,1.452,4.753,6.847,3.301,5.395,2.094,32.5320998805139,-5.08334632222549,[],[],0
1237679322323353886,8.148271E+18,1.625872,20.24261,20.07674,20.14248,19.96433,20.08045,16.968,15.719,12.88,9.436,,,,,,,True,8,0.16587,0.10013,0.27828,0.16216,-0.06574,0.11241,-0.00371,0.17815,0.06203,-0.11612,1.249,4.088,7.532,2.839,6.283,3.444,32.4596059493973,-5.20187089183245,[],[],0
1237679322323353921,8.14953E+18,1.61209,21.76497,21.45767,21.4041,21.02074,21.1965,16.844,15.624,12.637,9.338,,,,,,,True,8,0.3073,0.36087,0.74423,0.56847,0.05357,0.43693,0.26117,0.38336,0.2076,-0.17576,1.22,4.207,7.506,2.987,6.286,3.299,32.506558995783,-5.12865421825915,[],[],0
1237679322323353924,8.149531E+18,1.387819,21.57825,21.41898,20.42707,20.24166,19.92456,16.588,15.211,12.145,8.821,,,,,,,True,8,0.15927,1.15118,1.33659,1.65369,0.99191,1.17732,1.49442,0.18541,0.50251,0.3171,1.377,4.443,7.767,3.066,6.39,3.324,32.5227794913128,-5.15239977708494,[],[],0
1237679322323353925,8.14827E+18,0.5398576,22.02805,21.533,21.08739,20.52095,20.16387,15.739,15.269,12.833,9.403,,,,,,,True,8,0.49505,0.94066,1.5071,1.86418,0.44561,1.01205,1.36913,0.56644,0.92352,0.35708,0.47,2.906,6.336,2.436,5.866,3.43,32.5285540825647,-5.26071906849599,[],[],0
1237679322323354282,8.149531E+18,2.567004,22.33748,21.86255,21.69811,21.53185,21.1628,17.262,16.283,13.022,9.383,,,,,,,True,8,0.47493,0.63937,0.80563,1.17468,0.16444,0.3307,0.69975,0.16626,0.53531,0.36905,0.979,4.24,7.879,3.261,6.9,3.639,32.5505864179249,-5.09215869167267,[],[],0
1237679322323354456,8.149531E+18,0.6054217,23.27505,22.55852,20.86685,19.70193,19.07883,15.79,15.652,13.078,9.427,0.0520010202175078,,,,0.3964060214205747,-0.9578201169139484,True,8,0.71653,2.4082,3.57312,4.19622,1.69167,2.85659,3.47969,1.16492,1.78802,0.6231,0.138,2.712,6.363,2.574,6.225,3.651,32.508342873907,-5.16415517333648,[],[],0
1237679322323419466,8.148268E+18,2.745522,22.40399,21.99953,21.6448,21.83954,21.43307,,,,,,,,,,,True,8,0.40446,0.75919,0.56445,0.97092,0.35473,0.15999,0.56646,-0.19474,0.21173,0.40647,,,,,,,32.5664195107055,-5.14246500423194,[],[],0
1237679322323485050,8.148267E+18,1.692488,20.17186,19.99369,19.94444,19.70848,19.8921,16.365,15.148,12.153,9.14,,,,,,,True,8,0.17817,0.22742,0.46338,0.27976,0.04925,0.28521,0.10159,0.23596,0.05234,-0.18362,1.217,4.212,7.225,2.995,6.008,3.013,32.842579135494,-5.19486758531971,[],[],0
1237679322323485298,8.149535E+18,2.159079,21.89873,21.43765,21.17355,21.03918,20.61012,17.667,16.965,12.552,9.367,,,,,,,True,8,0.46108,0.72518,0.85955,1.28861,0.2641,0.39847,0.82753,0.13437,0.56343,0.42906,0.702,5.115,8.3,4.413,7.598,3.185,32.8479909520972,-5.13038641868379,[],[],0
1237679322323550520,4.947378E+18,3.181034,21.05874,20.46871,20.26591,20.22012,19.92597,15.44,14.645,12.931,8.974,,,,,,,True,8,0.59003,0.79283,0.83862,1.13277,0.2028,0.24859,0.54274,0.04579,0.33994,0.29415,0.795,2.509,6.466,1.714,5.671,3.957,32.8841805282017,-5.14385653830985,[],[],0
1237679322323681475,8.148246E+18,1.748066,21.12362,21.09701,20.98565,20.86388,20.94639,,,,,,,,,,,True,8,0.02661,0.13797,0.25974,0.17723,0.11136,0.23313,0.15062,0.12177,0.03926,-0.08251,,,,,,,33.2733818996726,-5.03888073351012,[],[],0
1237679322323681823,8.877766E+18,2.970367,23.43952,21.80569,21.88509,21.93068,21.73969,,,,,,,,,,,True,8,1.63383,1.55443,1.50884,1.69983,-0.0794,-0.12499,0.066,-0.04559,0.1454,0.19099,,,,,,,33.2998028824511,-5.23871144839608,[],[],0
1237679322323746912,4.947409E+18,0.7424768,20.02492,19.60054,19.58562,19.59802,19.33508,15.443,14.746,12.152,9.387,,,,,,,True,8,0.42438,0.4393,0.4269,0.68984,0.01492,0.00252,0.26546,-0.0124,0.25054,0.26294,0.697,3.291,6.056,2.594,5.359,2.765,33.3340213509714,-5.1308730002957,[],[],0
